time,logger,level,message,exception
2012-01-14 14:15:19.6290,Raven.Database.Server.HttpServer,Debug,Request #  17: GET     -     6 ms - <default>  - 200 - /docs?pageSize=0&noCache=-193132840,
2012-01-14 14:15:19.6691,Raven.Database.Server.HttpServer,Debug,Request #  18: GET     -     4 ms - <default>  - 200 - /license/status?noCache=-1399856771,
2012-01-14 14:15:32.4375,Raven.Database.Server.HttpServer,Debug,Request #  19: GET     -    68 ms - <default>  - 200 - /stats?noCache=1206772469,
2012-01-14 14:15:56.0314,Raven.Database.Server.HttpServer,Debug,Request #  20: GET     -    34 ms - <default>  - 200 - /docs/?start=0&pageSize=15&noCache=1709351140,
2012-01-14 14:16:00.2274,Raven.Database.Server.HttpServer,Debug,Request #  21: GET     -    82 ms - <default>  - 200 - /stats?noCache=576789470,
2012-01-14 14:16:02.1702,Raven.Database.Server.HttpServer,Debug,Request #  22: GET     -    32 ms - <default>  - 200 - /docs/?start=0&pageSize=15&noCache=2108221812,
2012-01-14 14:16:06.2661,Raven.Database.Server.HttpServer,Debug,Request #  23: GET     -    61 ms - <default>  - 200 - /stats?noCache=1090154291,
2012-01-14 14:16:08.2189,Raven.Database.Server.HttpServer,Debug,Request #  24: GET     -    35 ms - <default>  - 200 - /docs/?start=0&pageSize=15&noCache=-1787735372,
2012-01-14 14:16:12.3248,Raven.Database.Server.HttpServer,Debug,Request #  25: GET     -    30 ms - <default>  - 200 - /stats?noCache=-1632983846,
2012-01-14 14:16:26.5152,Raven.Database.Server.HttpServer,Debug,Request #  26: GET     -    44 ms - <default>  - 200 - /docs/?start=0&pageSize=15&noCache=-1074850789,
2012-01-14 14:16:36.6798,Raven.Database.Server.HttpServer,Debug,Request #  27: GET     -    45 ms - <default>  - 200 - /stats?noCache=1369856765,
2012-01-14 14:16:42.7285,Raven.Database.Server.HttpServer,Debug,Request #  28: GET     -    37 ms - <default>  - 200 - /stats?noCache=851001027,
2012-01-14 14:16:44.7715,Raven.Database.Server.HttpServer,Debug,Request #  29: GET     -    40 ms - <default>  - 200 - /docs/?start=0&pageSize=15&noCache=1060681415,
2012-01-14 14:16:48.8774,Raven.Database.Server.HttpServer,Debug,Request #  30: GET     -    31 ms - <default>  - 200 - /stats?noCache=1762953491,
2012-01-14 14:16:56.9590,Raven.Database.Server.HttpServer,Debug,Request #  31: GET     -    53 ms - <default>  - 200 - /docs/?start=0&pageSize=15&noCache=-797777364,
2012-01-14 14:17:00.0635,Raven.Database.Server.HttpServer,Debug,Request #  32: GET     -    36 ms - <default>  - 200 - /stats?noCache=288883964,
2012-01-14 14:17:08.2352,Raven.Database.Server.HttpServer,Debug,Request #  33: GET     -    27 ms - <default>  - 200 - /stats?noCache=-1800773296,
